Student_ID;gender;measurement_code;height_m;weight_kg;age
EXT_00001;female;13818.75;1.8169362631532384;64.68902234486215;38
EXT_00002;female;11643.75;1.785934844685866;86.1539568052992;51
EXT_00003;male;10368.75;1.7963627748619693;62.26788704484092;43
EXT_00004;male;11756.25;1.885364307653283;93.29161259897232;37
EXT_00005;male;10125.0;1.7561818887728953;87.3977561344449;19
EXT_00006;male;6712.5;1.8433838977985848;92.29362401693932;44
EXT_00007;male;8475.0;1.5946778942692;54.48601927176957;33
EXT_00008;female;9562.5;1.9576259420153792;101.7253551612352;57
EXT_00009;female;12993.75;1.9041652059396408;66.91783916437775;37
EXT_00010;female;10275.0;1.511676048164093;64.71312596792656;46
EXT_00011;male;4987.5;1.7506982392976622;82.90235459618452;33
EXT_00012;female;4762.5;1.8973314461989448;98.6488977599776;51
EXT_00013;female;10743.75;1.9847000562830936;101.98321715541256;45
EXT_00014;female;3318.75;1.9476730445765849;107.0002441296582;42
EXT_00015;female;5362.5;1.8633674181766715;93.527207799125;43
EXT_00016;female;4987.5;1.6648655535731065;73.781743502818;32
EXT_00017;female;8306.25;1.564757460641402;70.06942294688008;38
EXT_00018;male;7781.250000000001;1.5935542114586263;66.17342390428855;51
EXT_00019;male;11812.5;1.6875881991565511;74.69229111379505;50
EXT_00020;female;4443.75;1.6544882303934083;66.21751007486029;38
EXT_00021;female;10293.75;1.7767654426785917;85.44847117233135;39
EXT_00022;female;11268.75;1.542799776411384;64.95985760190821;35
EXT_00023;female;6131.25;1.8906726200480688;66.10641083382507;32
EXT_00024;male;4687.5;1.6490261043197216;76.90536721774606;43
EXT_00025;female;7837.499999999999;1.674827670268417;57.00918913272564;39
EXT_00026;female;13837.5;1.944138748571873;68.1330043359743;42
EXT_00027;female;9600.0;1.8792278736545631;95.12613796541848;44
EXT_00028;female;9712.5;1.990664145569221;105.55801819219052;34
EXT_00029;female;8306.25;1.5199660946328046;60.93659894481856;21
EXT_00030;male;6825.0;1.847900280772099;71.05881610297975;48
EXT_00031;male;4181.25;1.5365979618842218;67.26142485264853;27
EXT_00032;female;6337.5;1.605200845435241;58.76924850300976;48
EXT_00033;female;6768.75;1.6920970924629888;77.44525856461685;45
EXT_00034;female;11550.0;1.5754773937058233;53.413685469974425;26
EXT_00035;female;5062.5;1.7884858273883977;78.87159998060945;44
EXT_00036;female;10462.5;1.8485065069671311;93.95621026538;48
EXT_00037;female;14343.75;1.5937068007202668;46.21165500240627;37
EXT_00038;female;6993.75;1.5228211997636552;51.15916408499997;35
EXT_00039;female;8906.25;1.6902100037537813;81.00816991169822;41
EXT_00040;female;14043.75;1.6311113229359482;55.21498745112242;47
EXT_00041;female;7575.0;1.7857242828740394;81.48742978883183;35
EXT_00042;male;8343.75;1.8348486936458663;70.93904334678842;29
EXT_00043;female;3112.5;1.902335808927779;95.78994634948808;39
EXT_00044;male;11925.0;1.864271299330972;84.72361005260574;20
EXT_00045;female;4406.25;1.8205813529225885;75.66013295097271;34
EXT_00046;female;4631.25;1.6557078769405793;71.79449701897582;33
EXT_00047;male;8268.75;1.7468596022310527;76.21195879698818;49
EXT_00048;female;8343.75;1.8487127290777776;81.84696918057328;38
EXT_00049;female;8962.5;1.5044316425567343;64.05208410702029;44
EXT_00050;male;13406.25;1.7153210410869124;63.31680948274228;45
EXT_00051;female;7593.75;1.7055952379347454;81.56584798158507;37
EXT_00052;male;11118.75;1.9472263094117457;80.10713068568818;38
EXT_00053;male;3075.0;1.5027528995802104;63.95140117491113;38
EXT_00054;female;8587.5;1.9234844271035303;104.70458400531147;32
EXT_00055;female;6281.25;1.752561086168969;57.54703807912863;48
EXT_00056;male;6431.25;1.678370894522955;52.6727108675224;29
EXT_00057;male;6056.25;1.803740908724505;80.22282573221028;40
EXT_00058;female;14025.0;1.5062292059342215;45.93959103656062;51
EXT_00059;female;8606.25;1.5400162848829684;63.70671718766034;41
EXT_00060;female;7256.25;1.7657337479787063;80.02264126146535;41
EXT_00061;male;7012.5;1.8522468182058425;93.95229623838746;36
EXT_00062;female;14137.5;1.85207306832256;63.370661193984;29
EXT_00063;male;6825.0;1.7839228777487388;62.77573151517387;43
EXT_00064;female;8587.5;1.8902355691900776;98.2461150625802;44
EXT_00065;male;5925.0;1.8499830060523088;78.3793507921895;37
EXT_00066;male;11118.75;1.8089993642484947;80.75238535187627;31
EXT_00067;male;2812.5;1.7206995455401777;73.8358140642516;45
EXT_00068;female;8250.0;1.8433778601409545;92.54692045341103;33
EXT_00069;female;2887.5;1.6925503394702586;71.43978978718403;35
EXT_00070;male;7781.250000000001;1.640642281776517;74.26496977404673;51
EXT_00071;female;5231.25;1.544642949458968;58.74181170954412;37
EXT_00072;male;6675.0;1.891097542534037;88.51552561412603;33
EXT_00073;male;11756.25;1.7358835755749118;79.14112553907984;29
EXT_00074;female;13687.5;1.671260112154442;54.262168934824736;39
EXT_00075;female;9750.0;1.75040852154692;68.85257373739356;31
EXT_00076;female;8400.0;1.7554744066098151;65.50990659516033;26
EXT_00077;male;11456.25;1.7174589400625973;63.19924028870507;20
EXT_00078;female;6412.5;1.5671160272657336;56.243001373813904;42
EXT_00079;male;13050.0;1.7480767196420968;66.15765878663139;38
EXT_00080;female;9300.0;1.887430134348326;87.77327005085041;52
EXT_00081;female;4743.75;1.614822338995073;64.83406717163422;38
EXT_00082;female;7068.75;1.997004514030992;88.12894100955478;41
EXT_00083;female;6093.75;1.8506648652443445;63.46626575159904;32
EXT_00084;female;8250.0;1.6354713491581827;75.34647446725904;23
EXT_00085;female;7631.250000000001;1.8162177914701447;79.9192760523725;51
EXT_00086;male;3037.5;1.9608988782517545;98.33079673016162;31
EXT_00087;female;12637.5;1.817680883714191;72.82709734975596;35
EXT_00088;female;3862.5;1.6067307580694845;68.81544174056361;23
EXT_00089;female;11025.0;1.7570683591659093;62.11103029816053;37
EXT_00090;male;7500.0;1.7075728269963728;81.42830163973403;40
EXT_00091;male;11493.75;1.617265435992637;68.15732408194435;31
EXT_00092;female;9375.0;1.7663061073205015;68.71023913728514;26
EXT_00093;male;10800.0;1.530907846922227;57.22020370514645;34
EXT_00094;male;11887.5;1.9745434079096864;95.18854151289256;36
